type,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},11213.381003608512,57939.27434561233,24831.117576691002,0.0,0.0,0.0,0.0,93983.77292591185
OneWayTransmissionLink{Aluminum},0.0,0.0,7.09433484677017e7,0.0,0.0,0.0,0.0,7.09433484677017e7
AluminumRefining,1.2493955326678884e9,5.33243693257159e9,1.3679986062160086e10,0.0,0.0,0.0,0.0,2.0261818527399567e10
OneWayTransmissionLink{AluminumScrap},0.0,0.0,1.1033990210984205e8,0.0,0.0,0.0,0.0,1.1033990210984205e8
AluminumSmelting,9182.956302363398,63706.84715440922,4090.6849734418524,0.0,0.0,0.0,0.0,76980.48843021446
ThermalAmmonia{Coal},2.4180583450811435e6,1.8898693230871635e10,0.0,0.0,0.0,0.0,0.0,1.8901111289216717e10
ThermalAmmoniaCCS{Coal},4.651462486269514e6,6.066228071778181e6,0.0,0.0,0.0,0.0,0.0,1.0717690558047695e7
ThermalAmmonia{CokingOvenGas},0.0,380213.10758024396,0.0,0.0,0.0,0.0,0.0,380213.10758024396
ThermalAmmonia{NaturalGas},2.954332976426208e8,3.357586514719345e9,0.0,0.0,0.0,0.0,0.0,3.653019812361966e9
ThermalAmmoniaCCS{NaturalGas},5.146716319051953e6,6.048671119002275e6,0.0,0.0,0.0,0.0,0.0,1.1195387438054228e7
SyntheticAmmonia,4.556223615703901e8,2.95096764359361e9,0.0,0.0,0.0,0.0,0.0,3.406590005164e9
OneWayTransmissionLink{Cement},0.0,0.0,566631.4295123668,0.0,0.0,0.0,0.0,566631.4295123668
OneWayTransmissionLink{CrudeSteel},0.0,0.0,1.3878202331348887e7,0.0,0.0,0.0,0.0,1.3878202331348887e7
DRIMaking,60958.40133016523,15121.876642977517,0.0,0.0,0.0,0.0,0.0,76080.27797314274
ThermalMethanol{Coal},3.1383528443380017e7,9.351356451998539e9,0.0,0.0,0.0,0.0,0.0,9.38273998044192e9
ThermalMethanolCCS{Coal},2.818703895369129e6,1.3318476133979699e7,4.261523931764805e6,0.0,0.0,0.0,0.0,2.039870396111363e7
ThermalMethanol{CokingOvenGas},0.0,1.2115242053610564e6,0.0,0.0,0.0,0.0,0.0,1.2115242053610564e6
ThermalMethanol{NaturalGas},0.0,1.666296390742165e9,0.0,0.0,0.0,0.0,0.0,1.666296390742165e9
ThermalMethanolCCS{NaturalGas},2.0847897858381488e6,1.4959918737287274e7,4.248349140573048e6,0.0,0.0,0.0,0.0,2.129305766369847e7
SyntheticMethanol,1.0627397015236053e10,1.395795659347722e10,0.0,0.0,0.0,0.0,0.0,2.4585353608713272e10
Steelmaking,1.9438152626391232e9,4.827428567163215e8,0.0,0.0,0.0,0.0,0.0,2.426558119355445e9
OneWayTransmissionLink{SteelScrap},0.0,0.0,9.304144292084439e7,0.0,0.0,0.0,0.0,9.304144292084439e7
CementPlant{Coal},28034.929592390476,1.4956212844185002e7,2.2124145564548508e10,0.0,0.0,0.0,0.0,2.2139129812322285e10
ThermalPower{Coal},1.2798227994605538e6,5.601207534272985e8,1.0598835033908427e8,5.104812011134615e6,0.0,0.0,0.0,6.72493738576978e8
ThermalPower{NaturalGas},2.5732465266401737e10,5.931602077074469e9,1.7828595974978058e9,6.752161382457927e7,0.0,0.0,0.0,3.351444855479859e10
ThermalPowerCCS{Coal},4.5419571882019135e10,1.3567289768200058e10,7.125785151299751e9,9.169614306383649e7,0.0,0.0,0.0,6.620434294458278e10
ThermalPowerCCS{NaturalGas},1.6076912757277846e9,4.921598249094171e8,2.780934832659054e8,1.876589666563035e7,0.0,0.0,0.0,2.3967104805687375e9
ThermalPower{Uranium},0.0,4.441447122985091e9,1.903562341232384e9,0.0,0.0,0.0,0.0,6.345009464217475e9
BECCSElectricity,1.8055377338913197e10,1.2660596865235453e10,0.0,0.0,0.0,0.0,0.0,3.071597420414865e10
HydroRes,0.0,3.4504319475196556e10,0.0,0.0,0.0,0.0,0.0,3.4504319475196556e10
VRE,2.5704443683433887e11,1.5297033155301187e11,0.0,0.0,0.0,0.0,0.0,4.100147683873507e11
Electrolyzer,6.006274597698696e9,2.536941134370756e9,0.0,0.0,0.0,0.0,0.0,8.543215732069452e9
ThermalHydrogen{NaturalGas},1.7316459887722465e8,3.8585531209055895e8,5.217899276442648e7,704038.4197208704,0.0,0.0,0.0,6.119029421519309e8
ThermalHydrogenCCS{NaturalGas},9.728799488071675e8,3.63299182308461e8,2.2309477672949153e8,293564.8010240682,0.0,0.0,0.0,1.559567472646144e9
ThermalHydrogen{Coal},4.1603038481340623e6,2.575497348876969e7,2.1753034992833277e6,80278.65611561899,0.0,0.0,0.0,3.21708594923027e7
ThermalHydrogenCCS{Coal},2.7506425481546164e7,1.711482861261655e7,4.268186678528165e6,74927.71999566891,0.0,0.0,0.0,4.8964368492686555e7
OneWayTransmissionLink{Electricity},4.110810586797034e8,4.639627676575823e9,0.0,0.0,0.0,0.0,0.0,5.050708735255527e9
Battery,5.723355791099538e10,2.3912061629858444e10,4.743889301297668e6,0.0,0.0,0.0,0.0,8.115036343015512e10
GasStorage{Hydrogen},3.1446720840193224e9,4.775412999677746e8,0.0,0.0,0.0,0.0,0.0,3.622213383987097e9
TransmissionLink{Electricity},9.79137356295834e8,3.85930525863468e9,0.0,0.0,0.0,0.0,0.0,4.838442614930513e9
CO2Injection,2.042687179592323e10,6.9714305353567e9,0.0,0.0,0.0,0.0,0.0,2.739830233127993e10
OneWayTransmissionLink{CO2Captured},7.506511530469916e8,1.7351172920067716e8,0.0,0.0,0.0,0.0,0.0,9.241628822476687e8
Node{Electricity},0.0,0.0,0.0,0.0,2.1338108104144625e7,0.0,0.0,2.1338108104144625e7
Node{NaturalGas},0.0,0.0,0.0,0.0,0.0,3.550098972655164e10,0.0,3.550098972655164e10
Node{Coal},0.0,0.0,0.0,0.0,0.0,9.592901005600374e10,0.0,9.592901005600374e10
Node{Uranium},0.0,0.0,0.0,0.0,0.0,7.608600851947502e9,0.0,7.608600851947502e9
Node{Hydrogen},0.0,0.0,0.0,0.0,4.0086042687525363e6,0.0,0.0,4.0086042687525363e6
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,7.234303870856947e6,7.234303870856947e6
Node{Biomass},0.0,0.0,0.0,0.0,0.0,1.8527109909902457e11,0.0,1.8527109909902457e11
Node{SteelScrap},0.0,0.0,0.0,0.0,0.0,1.0887212139716213e9,0.0,1.0887212139716213e9
Node{AluminumScrap},0.0,0.0,0.0,0.0,0.0,2.489692611922061e11,0.0,2.489692611922061e11
Node{Bauxite},0.0,0.0,0.0,0.0,0.0,20628.92844832789,0.0,20628.92844832789
Node{Graphite},0.0,0.0,0.0,0.0,0.0,22267.841589300406,0.0,22267.841589300406
Node{MacroEnergy.CokingOvenGas},0.0,0.0,0.0,0.0,0.0,2.051303899621631e6,0.0,2.051303899621631e6
Total,4.526110557725727e11,3.2454542562741327e11,4.758419002145068e10,1.8424127516203696e8,2.5346712372897163e7,5.743697763403749e11,7.234303870856947e6,1.3993272700532173e12
