type,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},16870.659774924046,126792.25096450154,54339.53612764348,0.0,0.0,0.0,0.0,198002.44686706905
OneWayTransmissionLink{Aluminum},0.0,0.0,7.3055624476329e7,0.0,0.0,0.0,0.0,7.3055624476329e7
AluminumRefining,1.2497573326363277e9,5.332429579091159e9,1.3679967197331284e10,0.0,0.0,0.0,0.0,2.026215410905877e10
OneWayTransmissionLink{AluminumScrap},0.0,0.0,1.460369956133894e8,0.0,0.0,0.0,0.0,1.460369956133894e8
AluminumSmelting,8810.99001047142,78757.38445995265,8951.909764617776,0.0,0.0,0.0,0.0,96520.28423504185
ThermalAmmonia{Coal},571009.5818993399,3.6992532648555236e9,0.0,0.0,0.0,0.0,0.0,3.6998242744374228e9
ThermalAmmoniaCCS{Coal},1.8315138622722174e6,4.227311118049529e6,0.0,0.0,0.0,0.0,0.0,6.058824980321746e6
ThermalAmmonia{CokingOvenGas},0.0,620522.5932471945,0.0,0.0,0.0,0.0,0.0,620522.5932471945
ThermalAmmonia{NaturalGas},961944.4716743509,1.5078349804925516e8,0.0,0.0,0.0,0.0,0.0,1.5174544252092952e8
ThermalAmmoniaCCS{NaturalGas},1.5958184517664844e6,3.642268816182614e6,0.0,0.0,0.0,0.0,0.0,5.238087267949099e6
SyntheticAmmonia,6.112201255122745e8,4.626152422060574e8,0.0,0.0,0.0,0.0,0.0,1.0738353677183318e9
OneWayTransmissionLink{Cement},0.0,0.0,654647.9562938372,0.0,0.0,0.0,0.0,654647.9562938372
OneWayTransmissionLink{CrudeSteel},0.0,0.0,3.462192012477624e10,0.0,0.0,0.0,0.0,3.462192012477624e10
OneWayTransmissionLink{DRI},0.0,0.0,2.1546255842828292e8,0.0,0.0,0.0,0.0,2.1546255842828292e8
DRIMaking,7.452101613211133e10,1.8486071661795685e10,0.0,0.0,0.0,0.0,0.0,9.300708779390701e10
ThermalMethanol{Coal},533011.7961953635,4.3225864182697487e8,0.0,0.0,0.0,0.0,0.0,4.3279165362317026e8
ThermalMethanolCCS{Coal},1.0382626545112872e6,1.1001025411576867e7,0.0,0.0,0.0,0.0,0.0,1.2039288066088155e7
ThermalMethanol{CokingOvenGas},0.0,2.0903113732836738e6,0.0,0.0,0.0,0.0,0.0,2.0903113732836738e6
ThermalMethanol{NaturalGas},0.0,4.5289574256648965e7,0.0,0.0,0.0,0.0,0.0,4.5289574256648965e7
ThermalMethanolCCS{NaturalGas},996486.4548661861,9.198143305704862e6,0.0,0.0,0.0,0.0,0.0,1.0194629760571048e7
SyntheticMethanol,8.234329429651839e9,6.23382286325303e9,0.0,0.0,0.0,0.0,0.0,1.446815229290487e10
Steelmaking,5.460632518201793e10,1.3554333388121899e10,0.0,0.0,0.0,0.0,0.0,6.816065857013983e10
OneWayTransmissionLink{SteelScrap},0.0,0.0,2.711128439943688e8,0.0,0.0,0.0,0.0,2.711128439943688e8
CementPlant{Coal},60234.48350631272,1.4956096983915215e7,2.2123974176945183e10,0.0,0.0,0.0,0.0,2.2138990508412605e10
ThermalPower{Coal},1.44303330803714e6,3.4697592025814776e9,5.835925596101006e8,3.3157396850170535e8,0.0,0.0,0.0,4.386368764001321e9
ThermalPower{NaturalGas},1.0471868953413448e10,4.057393951547462e9,1.3180172205977354e9,8.765361416699299e7,0.0,0.0,0.0,1.593493373972564e10
ThermalPowerCCS{Coal},2.946327531753168e10,1.0108689454857409e10,5.130977029053407e9,1.8138470986177623e8,0.0,0.0,0.0,4.4884326511304276e10
ThermalPowerCCS{NaturalGas},5.312518683749118e7,2.8126951036775433e7,1.3370321559072409e7,7.262659504071739e6,0.0,0.0,0.0,1.0188511893741076e8
ThermalPower{Uranium},0.0,4.441463036133311e9,1.9035691614576035e9,0.0,0.0,0.0,0.0,6.345032197590915e9
BECCSElectricity,7.601608724317075e9,1.240931409702028e10,0.0,0.0,0.0,0.0,0.0,2.0010922821337357e10
HydroRes,0.0,3.450415249385168e10,0.0,0.0,0.0,0.0,0.0,3.450415249385168e10
VRE{Generic},3.6513867207638135e11,1.7579714507897415e11,0.0,0.0,0.0,0.0,0.0,5.4093581715535547e11
Electrolyzer,3.9212021793411545e10,1.0215071276381552e10,0.0,0.0,0.0,0.0,0.0,4.94270930697931e10
ThermalHydrogen{NaturalGas},2.899996920768041e9,1.8348046585403214e9,2.3555490340425766e8,1.4836460226218172e6,0.0,0.0,0.0,4.971840128735243e9
ThermalHydrogenCCS{NaturalGas},9.618656315310498e7,4.7431535509950794e7,2.8145450441184636e7,264026.10091646353,0.0,0.0,0.0,1.720275752051569e8
ThermalHydrogen{Coal},3.806113571513534e6,2.974597684173615e7,3.1037910640738225e6,112134.67108798979,0.0,0.0,0.0,3.676801614841149e7
ThermalHydrogenCCS{Coal},2.1724315311218604e7,2.3975666322622593e7,6.575482864049429e6,121637.83436283807,0.0,0.0,0.0,5.239710233225346e7
OneWayTransmissionLink{Electricity},1.7833018588962073e9,4.875316272341487e9,0.0,0.0,0.0,0.0,0.0,6.658618131237694e9
Battery,5.54015015652793e10,2.5554534627583736e10,8.361738066743473e6,0.0,0.0,0.0,0.0,8.096439793092978e10
GasStorage{Hydrogen},1.0486681504348806e10,1.7876853083771944e9,0.0,0.0,0.0,0.0,0.0,1.2274366812726002e10
TransmissionLink{Electricity},6.336351218280151e8,3.749380715474606e9,0.0,0.0,0.0,0.0,0.0,4.383015837302621e9
CO2Injection,1.8307645699638794e10,6.59702467267573e9,0.0,0.0,0.0,0.0,0.0,2.490467037231452e10
OneWayTransmissionLink{CO2Captured},8.187295526655068e6,6.738084110668476e6,0.0,0.0,0.0,0.0,0.0,1.4925379637323543e7
Node{Electricity},0.0,0.0,0.0,0.0,3.4424564148784e7,0.0,0.0,3.4424564148784e7
