type,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},365239.4908373307,1.9899647604701923e11,8.528420402015105e10,0.0,0.0,0.0,0.0,2.8428104530666113e11
OneWayTransmissionLink{Aluminum},0.0,0.0,4.304981522425674e9,0.0,0.0,0.0,0.0,4.304981522425674e9
AluminumRefining,1.5000552076176405e8,2.5598602742482557e9,6.567138686421458e9,0.0,0.0,0.0,0.0,9.277004481431479e9
OneWayTransmissionLink{AluminumScrap},0.0,0.0,2.4646613775118887e8,0.0,0.0,0.0,0.0,2.4646613775118887e8
AluminumSmelting,9.455732850468739e9,5.277190735685352e10,1.4049742657763687e10,0.0,0.0,0.0,0.0,7.627738286508595e10
OneWayTransmissionLink{Cement},0.0,0.0,122404.51689469109,0.0,0.0,0.0,0.0,122404.51689469109
OneWayTransmissionLink{CrudeSteel},0.0,0.0,2.7472491889140944e9,0.0,0.0,0.0,0.0,2.7472491889140944e9
DRIMaking,899445.450707634,134917.00856075413,0.0,0.0,0.0,0.0,0.0,1.0343624592683881e6
Steelmaking,2.0455035098431714e11,4.957634553554076e10,0.0,0.0,0.0,0.0,0.0,2.541266965198579e11
OneWayTransmissionLink{SteelScrap},0.0,0.0,2.306906186550371e8,0.0,0.0,0.0,0.0,2.306906186550371e8
CementPlant{Coal},5416.83050056533,1.5796075883102694e6,2.336652238285672e9,0.0,0.0,0.0,0.0,2.338237262704483e9
CO2Injection,0.0,0.0,5.657329275069658e6,0.0,0.0,0.0,0.0,5.657329275069658e6
ThermalPower{Coal},3.1111758235558693e10,5.189463919375855e10,9.343706004033858e10,9.569301826190457e6,0.0,0.0,0.0,1.7645302677148203e11
ThermalPower{NaturalGas},2.621587987005253e6,2.1413966243527436e9,5.610279178238951e8,8.544715523343426e7,0.0,0.0,0.0,2.790493285397078e9
ThermalPowerCCS{Coal},4.404440094685807e6,1.3130313701177675e6,907251.2808944406,818366.9802638316,0.0,0.0,0.0,7.443089725961847e6
ThermalPowerCCS{NaturalGas},4.44553878840731e6,1.3252833388672604e6,613979.1469691368,756960.8626251265,0.0,0.0,0.0,7.141762136868834e6
ThermalPower{Uranium},0.0,1.0050054232438429e10,3.615105638169975e9,0.0,0.0,0.0,0.0,1.3665159870608404e10
BECCSElectricity,1.3513426735090322e6,1.445814131905185e9,0.0,0.0,0.0,0.0,0.0,1.447165474578694e9
HydroRes,0.0,6.552779786796871e10,0.0,0.0,0.0,0.0,0.0,6.552779786796871e10
VRE,7.952531143594739e11,1.7800931051872244e11,0.0,0.0,0.0,0.0,0.0,9.732624248781963e11
Electrolyzer,1.8168292399039527e6,6.591659207206939e6,0.0,0.0,0.0,0.0,0.0,8.408488447110891e6
ThermalHydrogen{NaturalGas},9.053220467425721e8,1.538310165424789e9,1.3360660493932064e9,260278.7991159742,0.0,0.0,0.0,3.779958540359684e9
ThermalHydrogenCCS{NaturalGas},5.7079961903553065e6,2.107130506920681e6,1.023077039661947e6,24695.137604440777,0.0,0.0,0.0,8.862898874542376e6
ThermalHydrogen{Coal},856881.1517372241,6.810327080571132e9,3.09227899980001e9,74228.76550241046,0.0,0.0,0.0,9.903537190288382e9
ThermalHydrogenCCS{Coal},6.310987714665506e6,2.7165093280141866e6,799882.2235442466,13080.938808292465,0.0,0.0,0.0,9.840460205032233e6
OneWayTransmissionLink{Electricity},3.3817010751504677e10,7.192831654678442e9,0.0,0.0,0.0,0.0,0.0,4.100984240618312e10
Battery,6.622024177200443e8,5.605484672121827e9,2.5207903413611468e7,0.0,0.0,0.0,0.0,6.292894993255483e9
GasStorage{Hydrogen},6.986287159310483e6,1.6632628342645403e6,0.0,0.0,0.0,0.0,0.0,8.649549993575023e6
TransmissionLink{Electricity},2.2821576864117943e10,5.481812819931523e9,0.0,0.0,0.0,0.0,0.0,2.8303389684049465e10
Node{Electricity},0.0,0.0,0.0,0.0,6.591740455845203e6,0.0,0.0,6.591740455845203e6
Node{NaturalGas},0.0,0.0,0.0,0.0,0.0,6.075853787698734e10,0.0,6.075853787698734e10
Node{Coal},0.0,0.0,0.0,0.0,0.0,5.812476205992656e11,0.0,5.812476205992656e11
Node{Uranium},0.0,0.0,0.0,0.0,0.0,1.444969531213394e10,0.0,1.444969531213394e10
Node{Hydrogen},0.0,0.0,0.0,0.0,935921.93101585,0.0,0.0,935921.93101585
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,2.74803042246493e6,2.74803042246493e6
Node{Biomass},0.0,0.0,0.0,0.0,0.0,2.666440202386756e10,0.0,2.666440202386756e10
Node{SteelScrap},0.0,0.0,0.0,0.0,0.0,9.851987471887196e9,0.0,9.851987471887196e9
Node{AluminumScrap},0.0,0.0,0.0,0.0,0.0,1.1951881017965024e11,0.0,1.1951881017965024e11
Node{Bauxite},0.0,0.0,0.0,0.0,0.0,7.085149257058693e10,0.0,7.085149257058693e10
Node{Graphite},0.0,0.0,0.0,0.0,0.0,7.648045398379408e10,0.0,7.648045398379408e10
Total,1.098762846023437e12,6.396197995767178e11,2.178429955427902e11,9.696406854354478e7,7.527662386861053e6,9.598230000181729e11,2.74803042246493e6,2.9161558809224707e12
